Department,Department Description,Category,Fund,Expenditure
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$78,000.00"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$2,227.00"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$15,200.00"
233,"Transportation and Engineering, Engineering",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$14,598.75"
233,"Transportation and Engineering, Engineering",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$527,099.68"
233,"Transportation and Engineering, Engineering",Fringe Benefits,791 - SIDEWALKS,"$2,562.70"
233,"Transportation and Engineering, Engineering",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"-$244,736.87"
233,"Transportation and Engineering, Engineering",Payroll,050 - GENERAL FUND,"$5,295.54"
233,"Transportation and Engineering, Engineering",Payroll,050 - GENERAL FUND,"$12,666.79"
234,Division of Aviation,Fixed Costs,104 - LUNKEN AIRPORT,"$40,638.10"
234,Division of Aviation,Contractual Services,104 - LUNKEN AIRPORT,"$2,040.00"
234,Division of Aviation,Contractual Services,104 - LUNKEN AIRPORT,"$6,612.02"
234,Division of Aviation,Payroll,104 - LUNKEN AIRPORT,"$9,668.86"
239,Division of Traffic Engineering,Capital,980 - CAPITAL PROJECTS,"$161,929.15"
239,Division of Traffic Engineering,Fringe Benefits,793 - BOULEVARD LIGHT ENERGY AND MAINTENANCE (BLEM),"$9,040.56"
239,Division of Traffic Engineering,Fringe Benefits,793 - BOULEVARD LIGHT ENERGY AND MAINTENANCE (BLEM),"$4,110.55"
239,Division of Traffic Engineering,Contractual Services,793 - BOULEVARD LIGHT ENERGY AND MAINTENANCE (BLEM),"$6,785.61"
243,Division of Convention Center,Fringe Benefits,103 - DUKE ENERGY CONVENTION CENTER,"$11,897.00"
248,Division of Parking Facilities,Contractual Services,102 - PARKING SYSTEM FACILITIES,"$6,700.00"
248,Division of Parking Facilities,Contractual Services,102 - PARKING SYSTEM FACILITIES,"$7,080.05"
248,Division of Parking Facilities,Contractual Services,102 - PARKING SYSTEM FACILITIES,"$6,598.44"
248,Division of Parking Facilities,Contractual Services,102 - PARKING SYSTEM FACILITIES,"$14,744.08"
248,Division of Parking Facilities,Payroll,102 - PARKING SYSTEM FACILITIES,"$38,444.15"
248,Division of Parking Facilities,Payroll,102 - PARKING SYSTEM FACILITIES,"$556,377.82"
251,"Public Services, Director",Contractual Services,302 - INCOME TAX - INFRASTRUCTURE,"$11,798.78"
251,"Public Services, Director",Payroll,050 - GENERAL FUND,"$286,502.24"
251,"Public Services, Director",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$30,110.55"
252,"Public Services, Traffic and Road Operations",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$12,252.08"
252,"Public Services, Traffic and Road Operations",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$238,009.05"
252,"Public Services, Traffic and Road Operations",Fringe Benefits,306 - MUNICIPAL MOTOR VEHICLE LICENSE TAX,"$183,447.70"
252,"Public Services, Traffic and Road Operations",Materials and Supplies,302 - INCOME TAX - INFRASTRUCTURE,"$3,180.54"
252,"Public Services, Traffic and Road Operations",Materials and Supplies,050 - GENERAL FUND,"$6,989.92"
252,"Public Services, Traffic and Road Operations",Materials and Supplies,302 - INCOME TAX - INFRASTRUCTURE,"$30,321.07"
252,"Public Services, Traffic and Road Operations",Contractual Services,302 - INCOME TAX - INFRASTRUCTURE,"$7,104.62"
252,"Public Services, Traffic and Road Operations",Contractual Services,"301 - STREET CONSTRUCTION, MAINTENANCE AND REPAIR","$246,408.65"
252,"Public Services, Traffic and Road Operations",Contractual Services,302 - INCOME TAX - INFRASTRUCTURE,"$81,288.02"
252,"Public Services, Traffic and Road Operations",Contractual Services,"301 - STREET CONSTRUCTION, MAINTENANCE AND REPAIR","$16,323.83"
252,"Public Services, Traffic and Road Operations",Contractual Services,306 - MUNICIPAL MOTOR VEHICLE LICENSE TAX,"$6,776.47"
252,"Public Services, Traffic and Road Operations",Payroll,"301 - STREET CONSTRUCTION, MAINTENANCE AND REPAIR","$11,190.92"
252,"Public Services, Traffic and Road Operations",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$2,865.15"
252,"Public Services, Traffic and Road Operations",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$27,617.61"
252,"Public Services, Traffic and Road Operations",Inventory,210 - HIGHWAY MAINTENANCE STORES,"$11,244.20"
252,"Public Services, Traffic and Road Operations",Inventory,210 - HIGHWAY MAINTENANCE STORES,"$26,257.24"
253,"Public Services, Neighborhood Operations",Fringe Benefits,050 - GENERAL FUND,"$651,895.32"
253,"Public Services, Neighborhood Operations",Fixed Costs,050 - GENERAL FUND,"$2,657.94"
253,"Public Services, Neighborhood Operations",Materials and Supplies,107 - STORMWATER MANAGEMENT,"$8,765.85"
253,"Public Services, Neighborhood Operations",Materials and Supplies,"301 - STREET CONSTRUCTION, MAINTENANCE AND REPAIR","$19,398.73"
253,"Public Services, Neighborhood Operations",Contractual Services,050 - GENERAL FUND,"$164,578.58"
253,"Public Services, Neighborhood Operations",Contractual Services,377 - CITIZEN SAFETY FUND,"$14,116.69"
253,"Public Services, Neighborhood Operations",Contractual Services,107 - STORMWATER MANAGEMENT,"$126,790.00"
253,"Public Services, Neighborhood Operations",Contractual Services,107 - STORMWATER MANAGEMENT,"$10,466.09"
253,"Public Services, Neighborhood Operations",Contractual Services,050 - GENERAL FUND,"$2,115.00"
253,"Public Services, Neighborhood Operations",Payroll,050 - GENERAL FUND,"$14,314.06"
253,"Public Services, Neighborhood Operations",Payroll,"301 - STREET CONSTRUCTION, MAINTENANCE AND REPAIR","$8,865.11"
255,"Public Services, Facilities Management",Capital,980 - CAPITAL PROJECTS,"$127,255.00"
255,"Public Services, Facilities Management",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$151,379.74"
255,"Public Services, Facilities Management",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$7,599.51"
255,"Public Services, Facilities Management",Materials and Supplies,302 - INCOME TAX - INFRASTRUCTURE,"$4,562.02"
255,"Public Services, Facilities Management",Materials and Supplies,302 - INCOME TAX - INFRASTRUCTURE,"$3,378.74"
255,"Public Services, Facilities Management",Materials and Supplies,302 - INCOME TAX - INFRASTRUCTURE,"-$4,682.55"
255,"Public Services, Facilities Management",Materials and Supplies,302 - INCOME TAX - INFRASTRUCTURE,"-$2,062.70"
255,"Public Services, Facilities Management",Materials and Supplies,302 - INCOME TAX - INFRASTRUCTURE,"$2,236.78"
255,"Public Services, Facilities Management",Contractual Services,302 - INCOME TAX - INFRASTRUCTURE,"$4,170.73"
255,"Public Services, Facilities Management",Contractual Services,302 - INCOME TAX - INFRASTRUCTURE,"$8,649.35"
255,"Public Services, Facilities Management",Contractual Services,340 - CENTENNIAL OPERATIONS,"$92,768.25"
255,"Public Services, Facilities Management",Contractual Services,340 - CENTENNIAL OPERATIONS,"$4,505.00"
255,"Public Services, Facilities Management",Contractual Services,340 - CENTENNIAL OPERATIONS,"$4,037.25"
255,"Public Services, Facilities Management",Contractual Services,302 - INCOME TAX - INFRASTRUCTURE,"$8,891.97"
255,"Public Services, Facilities Management",Contractual Services,050 - GENERAL FUND,"$22,711.89"
255,"Public Services, Facilities Management",Payroll,050 - GENERAL FUND,"$2,889.09"
255,"Public Services, Facilities Management",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$2,589.72"
255,"Public Services, Facilities Management",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$12,406.79"
255,"Public Services, Facilities Management",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$614,837.39"
256,"Public Services, Fleet Services",Fringe Benefits,202 - FLEET SERVICES,"-$26,006.67"
256,"Public Services, Fleet Services",Fixed Costs,202 - FLEET SERVICES,"$2,175.60"
256,"Public Services, Fleet Services",Contractual Services,202 - FLEET SERVICES,"$4,776.23"
256,"Public Services, Fleet Services",Contractual Services,202 - FLEET SERVICES,"$4,678.75"
256,"Public Services, Fleet Services",Contractual Services,202 - FLEET SERVICES,"$12,500.00"
256,"Public Services, Fleet Services",Contractual Services,202 - FLEET SERVICES,"$7,670.00"
256,"Public Services, Fleet Services",Contractual Services,202 - FLEET SERVICES,"$4,304.29"
256,"Public Services, Fleet Services",Contractual Services,202 - FLEET SERVICES,"$7,553.45"
256,"Public Services, Fleet Services",Payroll,202 - FLEET SERVICES,"$2,310.36"
256,"Public Services, Fleet Services",Payroll,202 - FLEET SERVICES,"$4,383.68"
256,"Public Services, Fleet Services",Payroll,202 - FLEET SERVICES,"$1,247,572.63"
261,"Health, Commissioner",Capital,980 - CAPITAL PROJECTS,"$6,084.75"
261,"Health, Commissioner",Capital,980 - CAPITAL PROJECTS,"$32,344.60"
261,"Health, Commissioner",Fixed Costs,350 - PUBLIC HEALTH RESEARCH,"$8,844.62"
261,"Health, Commissioner",Materials and Supplies,350 - PUBLIC HEALTH RESEARCH,"$4,500.00"
261,"Health, Commissioner",Contractual Services,050 - GENERAL FUND,"$5,032.03"
261,"Health, Commissioner",Payroll,050 - GENERAL FUND,"$83,839.47"
262,"Health, Technical Resources",Fringe Benefits,050 - GENERAL FUND,"$2,613.75"
262,"Health, Technical Resources",Fringe Benefits,050 - GENERAL FUND,"$7,316.12"
262,"Health, Technical Resources",Payroll,050 - GENERAL FUND,"$41,451.60"
263,"Health, Community Health Services",Fringe Benefits,425 - HEART HEALTH IN HAMILTON COUNTY PROJECT,"$6,057.90"
263,"Health, Community Health Services",Fringe Benefits,380 - LEAD POISONING CONTROL,"$2,965.41"
263,"Health, Community Health Services",Materials and Supplies,420 - PUBLIC EMPLOYEE ASSISTANCE PROGRAM,"$2,095.42"
263,"Health, Community Health Services",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"-$5,513.39"
263,"Health, Community Health Services",Contractual Services,381 - CINCINNATI ABATEMENT PROJECT,"$23,850.00"
263,"Health, Community Health Services",Contractual Services,381 - CINCINNATI ABATEMENT PROJECT,"$6,650.00"
263,"Health, Community Health Services",Contractual Services,381 - CINCINNATI ABATEMENT PROJECT,"$22,370.00"
263,"Health, Community Health Services",Contractual Services,381 - CINCINNATI ABATEMENT PROJECT,"$9,999.98"
263,"Health, Community Health Services",Contractual Services,381 - CINCINNATI ABATEMENT PROJECT,"$44,600.00"
263,"Health, Community Health Services",Contractual Services,412 - FOOD SERVICE LICENSE FEES,"$14,465.23"
263,"Health, Community Health Services",Contractual Services,381 - CINCINNATI ABATEMENT PROJECT,"$5,235.00"
263,"Health, Community Health Services",Payroll,412 - FOOD SERVICE LICENSE FEES,"$2,677.28"
263,"Health, Community Health Services",Payroll,381 - CINCINNATI ABATEMENT PROJECT,"$3,347.92"
264,"Health, Primary Health Care Programs",Fringe Benefits,353 - HOME HEALTH SERVICES,"$2,741.25"
264,"Health, Primary Health Care Programs",Fringe Benefits,395 - HEALTH SERVICES,"$9,040.56"
264,"Health, Primary Health Care Programs",Fringe Benefits,395 - HEALTH SERVICES,"$8,217.61"
264,"Health, Primary Health Care Programs",Materials and Supplies,350 - PUBLIC HEALTH RESEARCH,"-$2,535.13"
264,"Health, Primary Health Care Programs",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"$71,129.56"
264,"Health, Primary Health Care Programs",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"$16,092.96"
264,"Health, Primary Health Care Programs",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"$28,404.84"
264,"Health, Primary Health Care Programs",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"$45,000.00"
264,"Health, Primary Health Care Programs",Contractual Services,353 - HOME HEALTH SERVICES,"$16,231.25"
264,"Health, Primary Health Care Programs",Contractual Services,415 - IMMUNIZATION ACTION PLAN,"$7,018.33"
264,"Health, Primary Health Care Programs",Payroll,050 - GENERAL FUND,"-$3,839.55"
264,"Health, Primary Health Care Programs",Payroll,391 - WOMEN AND INFANTS FOOD GRANT PROGRAM,"$3,049.97"
264,"Health, Primary Health Care Programs",Payroll,050 - GENERAL FUND,"$8,356.30"
264,"Health, Primary Health Care Programs",Payroll,395 - HEALTH SERVICES,"$38,437.39"
264,"Health, Primary Health Care Programs",Payroll,415 - IMMUNIZATION ACTION PLAN,"$71,749.55"
265,"Health, Primary Health Care Centers",Fringe Benefits,050 - GENERAL FUND,"$3,706.00"
265,"Health, Primary Health Care Centers",Fringe Benefits,050 - GENERAL FUND,"$543,941.63"
265,"Health, Primary Health Care Centers",Fringe Benefits,418 - FEDERAL HEALTH PROGRAM INCOME,"$34,723.50"
265,"Health, Primary Health Care Centers",Fixed Costs,395 - HEALTH SERVICES,"$2,280.95"
265,"Health, Primary Health Care Centers",Fixed Costs,395 - HEALTH SERVICES,"$8,535.56"
265,"Health, Primary Health Care Centers",Materials and Supplies,395 - HEALTH SERVICES,"$18,039.45"
265,"Health, Primary Health Care Centers",Materials and Supplies,418 - FEDERAL HEALTH PROGRAM INCOME,"$3,133.95"
265,"Health, Primary Health Care Centers",Materials and Supplies,350 - PUBLIC HEALTH RESEARCH,"$3,500.00"
265,"Health, Primary Health Care Centers",Materials and Supplies,448 - HEALTH CARE SERVICES FOR THE HOMELESS,"$10,106.59"
265,"Health, Primary Health Care Centers",Contractual Services,050 - GENERAL FUND,"$8,122.50"
265,"Health, Primary Health Care Centers",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"$11,313.77"
265,"Health, Primary Health Care Centers",Contractual Services,050 - GENERAL FUND,"$71,518.70"
265,"Health, Primary Health Care Centers",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"$111,356.71"
265,"Health, Primary Health Care Centers",Contractual Services,350 - PUBLIC HEALTH RESEARCH,"$3,750.00"
265,"Health, Primary Health Care Centers",Contractual Services,395 - HEALTH SERVICES,"$8,095.60"
265,"Health, Primary Health Care Centers",Contractual Services,395 - HEALTH SERVICES,"$6,109.68"
265,"Health, Primary Health Care Centers",Contractual Services,418 - FEDERAL HEALTH PROGRAM INCOME,"$3,150.73"
265,"Health, Primary Health Care Centers",Contractual Services,395 - HEALTH SERVICES,"$4,593.00"
265,"Health, Primary Health Care Centers",Payroll,395 - HEALTH SERVICES,"$18,121.32"
265,"Health, Primary Health Care Centers",Payroll,395 - HEALTH SERVICES,"$834,216.71"
266,"Health, Primary School & Adolesent",Fringe Benefits,050 - GENERAL FUND,"$2,954.63"
266,"Health, Primary School & Adolesent",Fringe Benefits,353 - HOME HEALTH SERVICES,"$10,572.86"
266,"Health, Primary School & Adolesent",Fringe Benefits,050 - GENERAL FUND,"$38,311.26"
266,"Health, Primary School & Adolesent",Materials and Supplies,353 - HOME HEALTH SERVICES,"$3,348.00"
266,"Health, Primary School & Adolesent",Payroll,353 - HOME HEALTH SERVICES,"$10,742.14"
266,"Health, Primary School & Adolesent",Payroll,050 - GENERAL FUND,"$6,018.47"
266,"Health, Primary School & Adolesent",Payroll,353 - HOME HEALTH SERVICES,"$692,175.28"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$17,920.10"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$200,923.20"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$13,610.62"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$196,820.35"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$5,590.45"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$368,316.45"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$21,433.51"
300,Department of Water Works,Capital,898 - WATER WORKS IMPROVEMENT 12,"$89,082.16"
300,Department of Water Works,Inventory,204 - WATER WORKS STORES - MATERIALS,"$3,508.44"
300,Department of Water Works,Inventory,204 - WATER WORKS STORES - MATERIALS,"$3,520.20"
300,Department of Water Works,Inventory,214 - WATER WORKS STORES - CHEMICALS,"$36,563.40"
301,"Water Works, Business Services",Fringe Benefits,101 - WATER WORKS,"$7,650.00"
301,"Water Works, Business Services",Fringe Benefits,101 - WATER WORKS,"$16,317.33"
301,"Water Works, Business Services",Fringe Benefits,101 - WATER WORKS,"$186,352.73"
301,"Water Works, Business Services",Fixed Costs,101 - WATER WORKS,"$10,413.47"
301,"Water Works, Business Services",Fixed Costs,101 - WATER WORKS,"$22,000.00"
301,"Water Works, Business Services",Fixed Costs,101 - WATER WORKS,"$122,920.00"
301,"Water Works, Business Services",Contractual Services,101 - WATER WORKS,"$26,448.50"
301,"Water Works, Business Services",Payroll,101 - WATER WORKS,"$20,367.93"
301,"Water Works, Business Services",Payroll,101 - WATER WORKS,"$19,609.74"
301,"Water Works, Business Services",Payroll,101 - WATER WORKS,"$41,578.14"
301,"Water Works, Business Services",Payroll,101 - WATER WORKS,"$83,578.51"
301,"Water Works, Business Services",Payroll,101 - WATER WORKS,"$30,455.37"
302,"Water Works, Commercial Services",Fringe Benefits,101 - WATER WORKS,"$591,477.19"
302,"Water Works, Commercial Services",Fixed Costs,101 - WATER WORKS,"$25,469.28"
302,"Water Works, Commercial Services",Fixed Costs,101 - WATER WORKS,"$3,818.00"
302,"Water Works, Commercial Services",Fixed Costs,101 - WATER WORKS,"$4,313.10"
302,"Water Works, Commercial Services",Materials and Supplies,101 - WATER WORKS,"$230,182.50"
302,"Water Works, Commercial Services",Materials and Supplies,101 - WATER WORKS,"$2,156.14"
302,"Water Works, Commercial Services",Materials and Supplies,101 - WATER WORKS,"$10,631.46"
302,"Water Works, Commercial Services",Contractual Services,101 - WATER WORKS,"$44,900.61"
302,"Water Works, Commercial Services",Contractual Services,101 - WATER WORKS,"$142,521.07"
302,"Water Works, Commercial Services",Contractual Services,101 - WATER WORKS,"$2,543.43"
302,"Water Works, Commercial Services",Contractual Services,101 - WATER WORKS,"$9,564.81"
302,"Water Works, Commercial Services",Contractual Services,101 - WATER WORKS,"$2,329.38"
302,"Water Works, Commercial Services",Payroll,101 - WATER WORKS,"$2,629.14"
302,"Water Works, Commercial Services",Payroll,101 - WATER WORKS,"$140,559.03"
303,"Water Works, Water Supply",Materials and Supplies,101 - WATER WORKS,"$3,433.76"
303,"Water Works, Water Supply",Materials and Supplies,101 - WATER WORKS,"$12,042.70"
303,"Water Works, Water Supply",Materials and Supplies,101 - WATER WORKS,"$4,700.00"
303,"Water Works, Water Supply",Materials and Supplies,101 - WATER WORKS,"$46,949.06"
303,"Water Works, Water Supply",Materials and Supplies,101 - WATER WORKS,"$2,577.85"
303,"Water Works, Water Supply",Materials and Supplies,101 - WATER WORKS,"$2,154.38"
303,"Water Works, Water Supply",Contractual Services,101 - WATER WORKS,"$6,500.00"
303,"Water Works, Water Supply",Contractual Services,101 - WATER WORKS,"$31,010.00"
303,"Water Works, Water Supply",Contractual Services,101 - WATER WORKS,"$63,652.31"
303,"Water Works, Water Supply",Contractual Services,101 - WATER WORKS,"$93,214.94"
303,"Water Works, Water Supply",Payroll,101 - WATER WORKS,"$49,016.44"
304,"Water Works, Distribution",Fringe Benefits,101 - WATER WORKS,"-$21,738.10"
304,"Water Works, Distribution",Fringe Benefits,101 - WATER WORKS,"$38,310.63"
304,"Water Works, Distribution",Fringe Benefits,101 - WATER WORKS,"$853,859.58"
304,"Water Works, Distribution",Materials and Supplies,101 - WATER WORKS,"$46,304.35"
304,"Water Works, Distribution",Materials and Supplies,101 - WATER WORKS,"$8,844.73"
304,"Water Works, Distribution",Materials and Supplies,101 - WATER WORKS,"$2,495.14"
304,"Water Works, Distribution",Materials and Supplies,101 - WATER WORKS,"$16,072.25"
304,"Water Works, Distribution",Materials and Supplies,101 - WATER WORKS,"$7,034.98"
304,"Water Works, Distribution",Materials and Supplies,101 - WATER WORKS,"$3,303.49"
304,"Water Works, Distribution",Materials and Supplies,101 - WATER WORKS,"$2,037.37"
304,"Water Works, Distribution",Contractual Services,101 - WATER WORKS,"$2,363.40"
304,"Water Works, Distribution",Payroll,101 - WATER WORKS,"$11,980.70"
304,"Water Works, Distribution",Payroll,101 - WATER WORKS,"$2,081,860.13"
305,"Water Works, Water Quality and Treatment",Fringe Benefits,101 - WATER WORKS,"$213,492.19"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$3,149.00"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$3,972.15"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$7,713.29"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$7,101.20"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$395,564.73"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$4,393.72"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$22,790.91"
305,"Water Works, Water Quality and Treatment",Materials and Supplies,101 - WATER WORKS,"$3,927.00"
305,"Water Works, Water Quality and Treatment",Contractual Services,101 - WATER WORKS,"$4,000.00"
305,"Water Works, Water Quality and Treatment",Contractual Services,101 - WATER WORKS,"$18,861.50"
305,"Water Works, Water Quality and Treatment",Contractual Services,101 - WATER WORKS,"$2,273.29"
305,"Water Works, Water Quality and Treatment",Contractual Services,101 - WATER WORKS,"$2,135.10"
305,"Water Works, Water Quality and Treatment",Contractual Services,101 - WATER WORKS,"$6,313.74"
305,"Water Works, Water Quality and Treatment",Payroll,101 - WATER WORKS,"$46,503.97"
306,"Water Works, Engineering",Fringe Benefits,101 - WATER WORKS,"$22,225.77"
306,"Water Works, Engineering",Fringe Benefits,101 - WATER WORKS,"$664,310.77"
306,"Water Works, Engineering",Materials and Supplies,101 - WATER WORKS,"$2,204.16"
306,"Water Works, Engineering",Payroll,101 - WATER WORKS,"$56,956.87"
307,"Water Works, IT",Fringe Benefits,101 - WATER WORKS,"$5,570.52"
307,"Water Works, IT",Materials and Supplies,101 - WATER WORKS,"$15,456.06"
307,"Water Works, IT",Contractual Services,101 - WATER WORKS,"$9,777.12"
307,"Water Works, IT",Contractual Services,101 - WATER WORKS,"$2,044.75"
307,"Water Works, IT",Payroll,101 - WATER WORKS,"$2,043.42"
309,"Water Works, Debt Service",Debt Service,101 - WATER WORKS,"$194,532.18"
309,"Water Works, Debt Service",Debt Service,101 - WATER WORKS,"$9,789,688.26"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$1,478,097.19"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$5,000.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$209,532.85"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$618,312.14"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$126,390.12"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$702,857.74"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$66,557.40"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$621,693.92"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$39,871.63"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$2,035.76"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$31,993.40"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$26,000.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$54,020.44"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$358,198.33"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$908,527.94"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$9,911.25"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$410,940.40"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$387,892.95"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$326,470.37"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$83,683.04"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$60,000.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$28,440.71"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$40,078.91"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$66,227.28"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$4,563.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$5,656.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$5,509.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$6,165.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$3,275.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$5,983.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$61,704.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$67,439.00"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$67,518.08"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$15,715.46"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$15,366.55"
400,Department of Sewers,Capital,704 - METROPOLITAN SEWER DISTRICT CAPITAL IMPROVEMENTS,"$16,933.80"
410,"Sewers, Director/Stormwater",Fringe Benefits,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$5,611.37"
410,"Sewers, Director/Stormwater",Fringe Benefits,107 - STORMWATER MANAGEMENT,"$82,869.56"
410,"Sewers, Director/Stormwater",Fixed Costs,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$10,500.00"
410,"Sewers, Director/Stormwater",Fixed Costs,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$75,000.00"
410,"Sewers, Director/Stormwater",Fixed Costs,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$2,361.47"
410,"Sewers, Director/Stormwater",Fixed Costs,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$10,000.00"
410,"Sewers, Director/Stormwater",Fixed Costs,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$3,500.00"
