Manager,Annual Salary,Training Program
1337,50252.70,No
1338,53782.60,No
1339,53986.60,Yes
1340,55643.40,Yes
1341,60841.40,Yes
1342,51059.70,Yes
1343,46042.10,No
1344,45611.60,Yes
1345,45800.20,Yes
1346,52425.70,Yes
1347,55811.10,Yes
1348,54549.90,Yes
1349,53432.90,Yes
1350,52781.20,Yes
1351,48889.50,No
1352,51816.70,Yes
1353,59720.80,Yes
1354,52397.30,Yes
1355,54206.90,No
1356,55590.70,Yes
1357,50535.70,Yes
1358,54006.70,Yes
1359,52590.40,Yes
1360,52706.30,No
1361,50307.20,Yes
1362,49356.40,Yes
1363,56208.20,No
1364,53293.70,Yes
1365,46190.90,Yes
1366,55980.80,Yes
1367,53621.80,Yes
1368,41173.10,No
1369,53217.70,Yes
1370,55636.70,No
1371,53585.70,Yes
1372,53740.40,Yes
1373,50974.40,No
1374,53000.90,Yes
1375,49189.60,Yes
1376,46593.20,No
1377,49286.30,Yes
1378,49963.70,No
1379,45173.20,Yes
1380,47321.40,Yes
1381,57757.10,Yes
1382,48039.30,No
1383,60038.60,Yes
1384,47429.00,Yes
1385,47704.30,No
1386,47696.50,No
1387,45922.60,Yes
1388,54091.10,No
1389,54455.80,Yes
1390,54675.80,Yes
1391,46097.50,Yes
1392,49933.60,Yes
1393,48103.10,Yes
1394,49308.80,Yes
1395,53109.50,Yes
1396,57060.40,Yes
1397,51726.40,No
1398,49214.30,Yes
1399,59760.80,Yes
1400,44351.60,No
1401,52983.30,No
1402,54742.90,Yes
1403,54156.10,Yes
1404,48229.40,No
1405,61841.70,Yes
1406,49590.60,No
1407,58237.40,Yes
1408,51003.20,Yes
1409,53007.30,Yes
1410,60818.50,No
1411,53263.90,Yes
1412,52554.40,Yes
1413,54488.40,No
1414,55035.70,Yes
1415,47727.70,No
1416,50168.30,No
1417,49319.60,No
1418,47762.30,Yes
1419,53100.40,Yes
1420,54106.50,Yes
1421,55460.50,Yes
1422,55353.70,Yes
1423,52630.30,Yes
1424,55432.70,No
1425,57680.30,No
1426,50104.60,Yes
1427,52435.00,Yes
1428,41187.40,Yes
1429,46170.10,No
1430,48584.60,No
1431,57857.00,Yes
1432,51879.40,No
1433,45814.50,Yes
1434,48267.80,No
1435,55917.50,Yes
1436,54985.80,Yes
1437,55916.50,No
1438,49684.20,Yes
1439,52419.50,No
1440,53664.40,Yes
1441,45498.10,Yes
1442,53574.30,Yes
1443,54928.50,Yes
1444,51469.40,No
1445,48254.10,Yes
1446,57002.60,Yes
1447,46898.40,Yes
1448,53661.70,Yes
1449,56723.60,Yes
1450,46099.20,No
1451,51944.00,Yes
1452,51579.00,Yes
1453,51016.90,Yes
1454,57304.50,Yes
1455,54715.20,Yes
1456,52194.40,Yes
1457,52250.10,Yes
1458,44399.90,Yes
1459,49849.80,No
1460,52858.70,Yes
1461,52973.10,Yes
1462,51944.60,No
1463,55882.90,Yes
1464,50801.20,No
1465,52325.10,Yes
1466,45136.50,No
1467,57681.20,Yes
1468,44327.00,No
1469,48150.10,Yes
1470,47929.80,No
1471,44970.50,No
1472,51070.90,Yes
1473,54186.20,Yes
1474,49740.20,No
1475,44231.40,Yes
1476,56128.50,No
1477,60268.80,Yes
1478,55668.80,Yes
1479,56870.10,Yes
1480,55353.70,Yes
1481,52172.90,Yes
1482,51814.80,Yes
1483,54652.60,Yes
1484,57037.70,Yes
1485,50845.10,No
1486,51975.80,Yes
1487,50028.70,Yes
1488,54614.80,Yes
1489,53477.40,No
1490,51873.30,No
1491,55394.10,No
1492,51599.90,Yes
1493,50124.40,No
1494,56053.20,Yes
1495,51589.70,No
1496,52523.60,Yes
1497,48302.30,No
1498,52170.10,Yes
1499,52808.20,Yes
1500,54354.80,Yes
1501,44260.80,No
1502,50531.20,Yes
1503,48035.90,Yes
1504,47965.20,No
1505,46137.40,Yes
1506,49581.30,No
1507,53804.20,Yes
1508,58819.40,No
1509,45742.70,No
1510,52839.70,Yes
1511,48393.20,No
1512,58409.40,Yes
1513,48482.30,No
1514,52475.50,Yes
1515,54766.00,Yes
1516,47554.80,Yes
1517,49830.80,Yes
1518,46275.80,Yes
1519,55933.40,Yes
1520,49701.90,No
1521,48786.60,No
1522,51641.20,Yes
1523,54463.70,No
1524,55581.30,Yes
1525,56387.90,Yes
1526,51265.90,Yes
1527,57368.40,Yes
1528,54231.00,No
1529,47215.70,Yes
1530,50241.30,No
1531,52567.70,Yes
1532,48979.50,No
1533,59758.70,No
1534,50299.30,No
1535,58514.50,Yes
1536,60893.10,Yes
1537,53451.80,Yes
1538,57122.90,Yes
1539,53891.50,Yes
1540,44104.00,Yes
1541,49151.80,No
1542,57399.30,No
1543,55309.60,Yes
1544,55825.10,Yes
1545,50404.60,Yes
1546,51218.80,No
1547,47962.70,No
1548,56008.50,Yes
1549,49826.90,No
1550,52019.90,Yes
1551,55128.70,No
1552,54626.90,Yes
1553,44600.20,No
1554,49588.50,No
1555,52286.40,No
1556,52740.40,Yes
1557,49142.90,Yes
1558,53277.90,No
1559,55958.10,No
1560,54633.10,Yes
1561,49077.70,Yes
1562,50492.40,No
1563,58429.10,Yes
1564,51107.10,Yes
1565,52755.80,Yes
1566,50177.30,No
1567,45831.60,No
1568,56661.50,Yes
1569,55530.20,No
1570,52195.30,Yes
1571,57491.60,Yes
1572,56664.70,No
1573,50978.40,Yes
1574,49806.40,Yes
1575,49755.70,Yes
1576,49791.70,No
1577,52342.40,Yes
1578,54312.50,No
1579,48187.40,Yes
1580,51139.40,Yes
1581,53503.70,No
1582,50023.20,Yes
1583,52626.90,No
1584,56629.70,Yes
1585,53435.30,No
1586,50595.60,No
1587,53117.20,Yes
1588,50459.60,No
1589,57154.20,No
1590,50674.70,Yes
1591,57888.80,No
1592,54576.90,Yes
1593,50265.60,Yes
1594,49814.10,No
1595,55760.70,No
1596,48656.90,No
1597,49096.70,No
1598,55499.60,No
1599,55925.70,Yes
1600,55313.60,Yes
1601,53031.90,Yes
1602,52504.10,Yes
1603,54192.40,Yes
1604,50839.50,No
1605,48702.90,No
1606,51404.40,Yes
1607,53533.40,Yes
1608,52231.40,Yes
1609,49167.80,Yes
1610,49779.50,No
1611,44129.30,Yes
1612,54009.50,Yes
1613,51505.40,No
1614,45483.20,Yes
1615,55799.70,No
1616,55356.40,No
1617,56082.90,Yes
1618,53725.70,No
1619,48607.20,No
1620,58379.50,No
1621,48916.70,No
1622,59574.20,Yes
1623,51382.90,Yes
1624,49766.20,Yes
1625,52214.20,Yes
1626,49586.30,Yes
1627,51326.50,No
1628,53332.80,No
1629,46218.90,Yes
1630,52199.60,Yes
1631,52247.10,Yes
1632,58755.70,No
1633,50164.20,No
1634,53327.60,Yes
1635,45008.60,Yes
1636,52620.00,Yes
1637,55001.20,Yes
1638,50325.30,No
1639,45084.10,No
1640,51546.50,Yes
1641,52534.80,Yes
1642,53452.50,No
1643,55410.40,Yes
1644,47044.50,Yes
1645,52800.60,No
1646,56386.70,Yes
1647,47961.30,Yes
1648,50914.80,No
1649,47677.10,No
1650,54246.30,No
1651,60855.90,No
1652,57122.90,Yes
1653,51838.70,Yes
1654,44980.00,Yes
1655,56278.30,Yes
1656,50848.30,Yes
1657,51187.50,No
1658,53619.80,Yes
1659,49929.10,Yes
1660,49574.50,Yes
1661,45886.70,Yes
1662,50393.80,Yes
1663,52858.70,No
1664,52994.80,Yes
1665,57506.40,Yes
1666,46000.80,No
1667,45610.60,Yes
1668,46227.10,Yes
1669,57223.90,Yes
1670,53687.50,Yes
1671,52277.50,No
1672,48538.50,Yes
1673,52875.70,Yes
1674,51144.70,No
1675,54659.30,No
1676,53529.10,Yes
1677,46716.40,Yes
1678,51835.90,Yes
1679,54628.80,Yes
1680,51860.70,Yes
1681,44194.20,Yes
1682,49947.30,No
1683,50807.50,No
1684,51633.60,Yes
1685,53323.90,No
1686,54293.00,No
1687,42442.20,No
1688,51342.50,Yes
1689,54879.90,Yes
1690,53363.70,Yes
1691,49502.70,Yes
1692,52388.00,Yes
1693,44360.30,No
1694,50673.40,Yes
1695,50079.70,No
1696,48535.90,Yes
1697,52123.20,Yes
1698,57309.10,No
1699,51416.20,Yes
1700,55320.70,Yes
1701,54070.30,Yes
1702,50962.80,No
1703,50349.30,Yes
1704,41290.20,No
1705,44411.80,Yes
1706,54405.30,Yes
1707,51646.40,Yes
1708,42193.80,No
1709,55408.60,Yes
1710,56930.90,Yes
1711,54363.80,Yes
1712,52724.70,Yes
1713,50850.80,No
1714,51513.60,Yes
1715,54310.00,No
1716,50750.40,Yes
1717,57179.20,Yes
1718,51713.50,Yes
1719,55153.10,Yes
1720,60878.80,Yes
1721,44255.30,No
1722,49968.50,No
1723,54471.70,Yes
1724,49025.10,Yes
1725,51564.60,No
1726,56340.10,Yes
1727,48669.50,Yes
1728,55439.50,Yes
1729,51048.50,No
1730,52880.20,Yes
1731,51885.50,No
1732,53623.80,Yes
1733,43904.30,No
1734,52152.60,Yes
1735,50615.80,Yes
1736,47393.50,No
1737,50077.40,Yes
1738,53579.00,Yes
1739,51516.70,Yes
1740,51642.40,No
1741,55858.60,Yes
1742,53463.10,No
1743,53672.60,Yes
1744,50957.70,Yes
1745,49199.50,No
1746,52888.10,Yes
1747,51670.90,No
1748,54404.50,No
1749,61095.00,No
1750,50534.40,Yes
1751,52046.80,No
1752,52461.90,No
1753,52165.50,Yes
1754,50778.00,Yes
1755,53668.20,Yes
1756,46094.00,Yes
1757,48794.80,Yes
1758,55264.60,No
1759,54955.20,Yes
1760,52863.70,No
1761,54050.00,No
1762,58004.50,Yes
1763,51632.60,Yes
1764,50959.00,Yes
1765,51894.10,Yes
1766,45613.70,Yes
1767,52602.30,Yes
1768,52407.50,No
1769,50264.30,No
1770,51466.30,Yes
1771,49636.00,No
1772,50069.60,No
1773,51813.30,No
1774,53283.70,Yes
1775,41187.40,Yes
1776,50877.60,No
1777,51433.70,No
1778,50966.20,No
1779,51360.40,Yes
1780,57641.90,Yes
1781,46797.90,No
1782,57268.40,No
1783,51722.70,No
1784,52271.40,Yes
1785,51206.70,Yes
1786,51045.70,Yes
1787,55083.70,Yes
1788,47974.00,No
1789,56074.90,Yes
1790,52054.80,Yes
1791,50216.90,Yes
1792,54461.50,Yes
1793,47336.90,Yes
1794,53946.40,Yes
1795,49643.50,Yes
1796,45377.00,Yes
1797,53071.90,Yes
1798,48759.50,No
1799,43113.90,Yes
1800,58429.10,Yes
1801,55609.60,No
1802,48650.60,Yes
1803,53976.70,Yes
1804,49671.80,No
1805,61778.60,Yes
1806,50264.30,No
1807,56933.60,Yes
1808,49747.60,No
1809,54452.00,Yes
1810,54458.00,No
1811,46733.70,No
1812,51712.60,Yes
1813,49909.90,No
1814,50766.90,No
1815,57018.70,Yes
1816,48633.40,No
1817,52086.70,Yes
1818,54691.50,Yes
1819,52878.60,Yes
1820,44072.30,Yes
1821,46565.60,Yes
1822,55733.20,Yes
1823,46627.70,Yes
1824,60230.60,No
1825,49265.60,No
1826,52323.20,Yes
1827,49189.20,No
1828,54989.90,No
1829,49962.60,No
1830,47172.50,No
1831,52197.40,Yes
1832,53881.10,Yes
1833,50806.90,No
1834,49676.40,Yes
1835,45919.80,Yes
1836,47404.30,Yes
1837,51290.60,Yes
1838,48772.70,No
1839,53899.20,Yes
1840,54595.80,Yes
1841,53661.40,Yes
1842,51135.10,Yes
1843,54474.70,Yes
1844,49463.40,No
1845,49699.80,No
1846,48467.00,No
1847,53462.40,Yes
1848,47891.70,Yes
1849,49294.90,Yes
1850,56188.20,No
1851,50453.10,No
1852,46348.00,Yes
1853,47182.10,Yes
1854,54284.10,Yes
1855,47057.70,No
1856,52268.30,No
1857,59085.80,Yes
1858,48863.80,No
1859,54531.10,Yes
1860,48687.90,Yes
1861,53745.20,Yes
1862,54152.20,Yes
1863,53799.70,Yes
1864,45889.50,Yes
1865,54667.10,No
1866,53549.10,Yes
1867,47769.50,No
1868,56293.50,No
1869,44019.90,Yes
1870,50143.20,No
1871,62281.10,Yes
1872,48331.60,No
1873,50362.70,Yes
1874,55772.50,Yes
1875,48992.50,Yes
1876,53895.70,Yes
1877,50440.80,No
1878,52335.90,No
1879,57575.90,Yes
1880,55508.40,No
1881,52141.90,No
1882,56976.20,Yes
1883,56207.10,No
1884,51019.40,Yes
1885,55869.70,Yes
1886,55744.00,Yes
1887,59481.20,Yes
1888,47361.10,No
1889,60686.40,No
1890,55731.30,No
1891,50466.10,Yes
1892,56120.40,Yes
1893,48966.00,No
1894,51460.50,No
1895,49473.20,Yes
1896,56010.60,Yes
1897,50200.00,Yes
1898,53606.30,Yes
1899,54996.60,Yes
1900,54286.00,No
1901,48034.50,No
1902,50973.70,No
1903,49542.10,No
1904,44247.90,No
1905,59078.10,Yes
1906,46663.90,No
1907,55769.00,Yes
1908,59459.10,Yes
1909,49985.50,No
1910,51502.60,Yes
1911,50850.20,Yes
1912,57190.30,Yes
1913,53849.10,No
1914,53882.80,Yes
1915,54570.70,Yes
1916,54453.90,Yes
1917,53739.10,Yes
1918,56438.10,No
1919,56651.50,No
1920,53894.00,Yes
1921,56311.60,No
1922,51416.50,Yes
1923,50131.50,No
1924,46634.10,No
1925,51081.80,No
1926,55701.10,Yes
1927,46038.60,Yes
1928,52930.90,No
1929,50293.10,No
1930,52692.50,Yes
1931,44979.70,Yes
1932,46692.70,No
1933,48322.60,Yes
1934,45342.10,No
1935,52047.20,No
1936,44207.30,Yes
1937,51653.20,No
1938,54331.10,Yes
1939,51596.50,Yes
1940,47974.00,No
1941,55320.20,Yes
1942,50694.40,No
1943,55170.30,No
1944,50915.10,Yes
1945,50519.50,No
1946,43217.60,Yes
1947,51688.40,No
1948,50253.70,Yes
1949,52448.30,No
1950,52066.10,Yes
1951,50649.70,Yes
1952,49106.00,Yes
1953,54332.50,No
1954,47368.50,Yes
1955,56281.10,Yes
1956,49653.80,Yes
1957,50820.50,No
1958,56415.80,No
1959,47393.50,No
1960,52526.40,Yes
1961,56344.70,Yes
1962,57035.60,No
1963,56047.40,Yes
1964,50671.50,Yes
1965,53704.20,No
1966,49617.40,No
1967,45881.10,No
1968,55923.60,Yes
1969,58977.30,Yes
1970,46601.90,Yes
1971,49075.80,Yes
1972,51391.50,No
1973,50623.20,No
1974,52798.70,Yes
1975,50819.20,No
1976,58040.20,Yes
1977,47228.20,No
1978,55858.10,Yes
1979,52586.40,Yes
1980,57726.50,Yes
1981,47217.50,No
1982,56167.00,Yes
1983,53463.40,Yes
1984,54366.40,Yes
1985,51242.30,Yes
1986,58419.80,No
1987,48152.50,Yes
1988,54160.50,Yes
1989,47591.00,Yes
1990,47873.30,Yes
1991,53883.90,Yes
1992,59095.10,Yes
1993,50315.10,No
1994,48080.80,No
1995,53903.70,Yes
1996,58272.20,Yes
1997,48491.40,Yes
1998,57469.50,Yes
1999,56217.00,Yes
2000,53702.20,Yes
2001,56029.40,No
2002,47356.50,Yes
2003,51294.30,Yes
2004,52687.80,Yes
2005,52981.80,No
2006,49867.50,Yes
2007,45135.30,No
2008,53425.70,Yes
2009,52680.00,Yes
2010,52746.70,No
2011,51462.30,No
2012,48697.00,Yes
2013,53292.20,No
2014,52942.60,No
2015,41404.90,Yes
2016,55777.90,No
2017,49675.00,No
2018,51497.10,No
2019,49774.90,No
2020,55100.20,Yes
2021,52803.80,Yes
2022,51735.50,No
2023,52927.10,No
2024,54749.30,Yes
2025,46846.20,No
2026,54258.10,Yes
2027,49018.00,No
2028,52541.30,No
2029,56945.90,No
2030,46810.70,No
2031,48905.10,No
2032,53432.90,Yes
2033,56689.30,No
2034,51293.40,No
2035,47971.00,No
2036,48550.90,No
2037,57866.30,Yes
2038,52643.70,Yes
2039,54171.00,Yes
2040,53782.60,Yes
2041,47443.10,Yes
2042,52122.90,Yes
2043,47925.40,No
2044,56017.90,Yes
2045,56072.80,Yes
2046,47845.70,Yes
2047,48680.80,No
2048,49622.10,Yes
2049,53170.70,Yes
2050,53802.50,No
2051,59266.10,No
2052,53750.00,Yes
2053,49183.90,No
2054,60352.80,Yes
2055,54383.90,Yes
2056,52560.60,Yes
2057,48691.20,No
2058,47605.00,Yes
2059,50685.50,Yes
2060,53128.80,Yes
2061,44694.70,No
2062,52258.10,No
2063,52656.90,Yes
2064,48379.80,Yes
2065,48900.70,Yes
2066,49500.20,No
2067,49264.90,No
2068,49064.90,Yes
2069,48815.20,No
2070,45314.80,No
2071,53343.00,Yes
2072,46968.40,No
2073,44406.70,Yes
2074,50099.90,No
2075,48742.60,No
2076,52532.60,Yes
2077,57857.90,Yes
2078,50027.00,No
2079,47110.30,Yes
2080,52335.30,Yes
2081,49311.40,Yes
2082,50084.40,No
2083,53460.80,Yes
2084,54384.30,Yes
2085,52702.80,Yes
2086,49506.70,Yes
2087,51652.30,Yes
2088,49967.80,Yes
2089,50405.60,No
2090,43389.80,No
2091,55119.80,Yes
2092,50328.30,Yes
2093,52237.20,Yes
2094,52244.90,No
2095,49894.90,Yes
2096,52587.30,Yes
2097,51665.40,Yes
2098,52217.20,Yes
2099,44478.60,Yes
2100,55352.30,No
2101,55475.70,Yes
2102,46793.80,Yes
2103,52299.80,No
2104,47187.50,Yes
2105,47031.30,No
2106,44579.90,Yes
2107,51591.00,Yes
2108,56023.70,No
2109,58364.70,Yes
2110,48523.40,No
2111,44887.60,No
2112,45560.20,Yes
2113,51960.80,Yes
2114,56410.60,Yes
2115,49260.00,Yes
2116,51560.00,No
2117,45437.80,Yes
2118,47420.60,No
2119,56373.40,No
2120,56020.00,Yes
2121,46678.00,Yes
2122,44770.90,Yes
2123,47238.20,Yes
2124,54008.50,No
2125,50435.90,Yes
2126,55665.90,Yes
2127,56493.20,No
2128,55448.60,Yes
2129,57992.70,No
2130,50790.40,Yes
2131,51934.20,No
2132,57101.90,No
2133,48119.20,Yes
2134,54220.70,Yes
2135,59343.00,Yes
2136,54862.80,No
2137,56110.80,No
2138,53354.50,Yes
2139,51455.00,Yes
2140,46872.70,No
2141,47767.40,Yes
2142,61095.00,No
2143,52853.60,No
2144,53673.60,No
2145,45985.70,Yes
2146,54300.40,No
2147,55517.70,Yes
2148,49987.90,No
2149,49387.50,No
2150,57551.40,Yes
2151,56819.70,Yes
2152,50878.90,No
2153,50979.40,No
2154,51414.40,No
2155,49395.60,Yes
2156,53421.70,No
2157,55318.50,Yes
2158,47320.20,No
2159,57745.30,Yes
2160,58127.60,No
2161,49727.60,Yes
2162,52645.60,Yes
2163,53223.50,Yes
2164,54408.70,Yes
2165,53713.80,No
2166,44956.50,No
2167,48345.90,Yes
2168,46898.40,Yes
2169,51192.20,Yes
2170,56681.70,Yes
2171,57076.10,Yes
2172,49820.70,Yes
2173,48379.80,Yes
2174,51521.60,Yes
2175,55157.80,Yes
2176,55046.60,No
2177,51308.60,No
2178,50695.70,Yes
2179,48624.90,No
2180,45087.90,No
2181,52930.90,Yes
2182,52260.00,Yes
2183,48955.70,Yes
2184,52888.10,Yes
2185,55751.30,Yes
2186,51055.00,No
2187,54391.80,No
2188,53227.70,Yes
2189,54077.80,Yes
2190,48911.50,No
2191,47760.70,No
2192,51423.90,No
2193,50583.40,Yes
2194,46317.30,No
2195,51965.40,Yes
2196,54401.90,No
2197,49207.80,No
2198,55892.00,No
2199,47085.00,Yes
2200,49881.60,No
2201,59861.30,Yes
2202,50684.20,No
2203,46296.60,No
2204,50422.50,No
2205,51045.70,Yes
2206,50900.00,Yes
2207,47920.50,Yes
2208,47504.60,Yes
2209,51645.80,No
2210,46193.40,No
2211,48487.00,Yes
2212,49001.90,Yes
2213,53771.60,Yes
2214,52389.60,No
2215,49519.40,Yes
2216,47741.10,No
2217,51968.10,Yes
2218,48705.80,Yes
2219,47114.00,Yes
2220,52543.20,No
2221,49388.60,No
2222,50076.70,No
2223,56324.70,Yes
2224,54813.60,No
2225,46509.70,Yes
2226,52374.40,No
2227,55605.80,Yes
2228,47592.10,No
2229,54991.60,Yes
2230,49212.40,Yes
2231,57416.10,Yes
2232,50934.50,Yes
2233,43529.60,No
2234,46391.60,Yes
2235,58936.40,Yes
2236,59511.10,Yes
2237,44690.20,Yes
2238,44637.20,No
2239,43321.60,Yes
2240,46476.90,Yes
2241,47832.60,Yes
2242,55688.10,Yes
2243,53552.20,Yes
2244,49966.40,No
2245,48815.20,No
2246,50911.60,No
2247,52347.90,Yes
2248,54293.30,Yes
2249,44916.20,No
2250,55151.80,Yes
2251,52411.80,No
2252,50432.60,No
2253,52121.30,No
2254,51469.10,Yes
2255,56548.60,Yes
2256,55382.80,Yes
2257,48386.10,No
2258,61017.50,Yes
2259,50622.20,No
2260,48707.00,Yes
2261,52306.30,Yes
2262,49730.80,No
2263,55390.50,Yes
2264,49727.20,No
2265,50429.70,Yes
2266,56228.60,Yes
2267,56992.20,Yes
2268,49064.90,Yes
2269,51633.90,Yes
2270,47355.30,Yes
2271,45262.70,Yes
2272,51159.30,Yes
2273,58926.30,Yes
2274,50594.90,Yes
2275,46779.60,Yes
2276,54859.20,Yes
2277,57960.50,Yes
2278,56890.90,Yes
2279,49637.00,No
2280,53996.50,No
2281,54013.80,Yes
2282,57212.70,Yes
2283,51718.70,No
2284,53989.40,No
2285,58347.70,No
2286,45425.70,No
2287,49040.30,No
2288,53779.20,Yes
2289,46995.90,Yes
2290,50931.40,Yes
2291,48310.90,No
2292,55803.20,Yes
2293,58506.10,Yes
2294,41492.60,Yes
2295,49044.20,No
2296,58171.40,No
2297,50099.60,No
2298,50680.70,Yes
2299,47305.10,Yes
2300,57111.30,No
2301,49710.30,No
2302,48716.20,Yes
2303,47704.30,No
2304,47885.20,No
2305,47972.00,Yes
2306,56609.20,Yes
2307,51772.30,No
2308,53283.40,No
2309,55183.70,No
2310,52293.50,No
2311,54430.50,Yes
2312,54439.50,No
2313,53545.10,Yes
2314,60699.20,Yes
2315,55443.10,No
2316,43982.80,Yes
2317,48867.40,No
2318,50245.10,No
2319,57252.60,No
2320,41978.20,Yes
2321,55360.40,Yes
2322,58682.00,Yes
2323,56874.80,No
2324,49194.50,Yes
2325,56593.80,No
2326,51813.30,Yes
2327,46653.30,No
2328,52966.10,No
2329,42003.00,No
2330,46699.00,No
2331,55497.80,Yes
2332,47441.90,Yes
2333,46764.60,Yes
2334,58442.00,Yes
2335,52790.40,No
2336,49065.30,No
2337,49486.00,No
2338,49978.00,No
2339,54322.50,No
2340,53105.90,Yes
2341,53137.50,Yes
2342,53226.40,No
2343,54623.40,Yes
2344,55461.90,No
2345,58253.70,Yes
2346,57735.40,Yes
2347,41597.80,Yes
2348,51835.30,No
2349,55860.90,Yes
2350,48673.70,No
2351,54628.10,No
2352,54835.00,No
2353,53655.60,Yes
2354,53475.40,Yes
2355,49516.50,Yes
2356,55461.40,No
2357,52111.20,Yes
2358,55883.40,No
2359,50991.30,No
2360,46817.40,No
2361,48370.90,Yes
2362,46442.20,No
2363,53153.60,Yes
2364,53725.70,Yes
2365,50421.90,No
2366,53779.90,Yes
2367,58893.40,Yes
2368,54663.60,Yes
2369,48539.70,No
2370,58393.20,No
2371,50163.90,Yes
2372,50481.00,No
2373,51847.60,Yes
2374,48290.10,Yes
2375,53214.10,Yes
2376,56255.90,No
2377,49528.00,No
2378,51330.50,No
2379,46818.10,Yes
2380,54588.10,Yes
2381,44818.00,Yes
2382,51741.40,Yes
2383,51897.40,Yes
2384,53189.80,Yes
2385,55928.70,Yes
2386,45025.40,No
2387,50375.80,No
2388,56465.80,No
2389,50799.90,Yes
2390,52600.40,No
2391,56124.70,No
2392,50263.70,No
2393,47779.70,Yes
2394,47609.20,Yes
2395,55468.80,Yes
2396,47527.10,Yes
2397,57787.10,Yes
2398,52706.90,Yes
2399,55337.60,No
2400,60629.60,No
2401,54696.20,Yes
2402,49587.80,Yes
2403,49491.10,Yes
2404,43770.80,No
2405,48988.10,No
2406,53352.20,Yes
2407,48949.40,No
2408,51408.20,Yes
2409,52362.10,Yes
2410,54317.00,Yes
2411,54683.20,No
2412,48423.60,No
2413,50913.20,No
2414,48246.80,No
2415,52300.80,Yes
2416,56783.70,No
2417,53091.50,Yes
2418,45223.70,No
2419,49386.70,No
2420,46371.40,No
2421,48188.80,Yes
2422,47030.70,Yes
2423,52393.30,Yes
2424,51591.90,Yes
2425,55930.30,Yes
2426,54514.70,Yes
2427,49740.20,No
2428,52703.80,No
2429,53279.80,Yes
2430,55257.20,No
2431,51884.90,No
2432,57397.70,Yes
2433,44965.80,Yes
2434,54898.60,Yes
2435,43757.00,Yes
2436,48337.00,No
2437,57811.00,Yes
2438,48875.80,No
2439,48890.70,No
2440,52896.90,Yes
2441,45254.50,No
2442,56156.70,Yes
2443,52677.20,Yes
2444,54928.10,Yes
2445,50670.20,No
2446,43603.40,No
2447,45226.10,Yes
2448,55671.20,Yes
2449,45120.90,Yes
2450,55773.00,Yes
2451,49753.20,Yes
2452,46682.90,No
2453,51504.40,Yes
2454,58765.10,Yes
2455,51790.90,No
2456,50549.60,No
2457,46988.30,Yes
2458,50912.90,No
2459,59305.10,Yes
2460,51446.70,No
2461,44968.40,Yes
2462,52631.60,Yes
2463,48063.70,No
2464,48446.50,Yes
2465,48663.60,No
2466,46851.50,No
2467,43078.00,Yes
2468,59522.50,No
2469,54691.10,No
2470,57588.60,Yes
2471,52441.80,Yes
2472,51030.10,No
2473,52840.40,No
2474,47996.80,No
2475,50143.20,Yes
2476,52209.30,No
2477,49576.70,Yes
2478,51015.70,No
2479,58221.30,Yes
2480,53497.40,Yes
2481,51859.80,Yes
2482,50353.20,Yes
2483,51847.30,Yes
2484,48110.20,Yes
2485,44947.10,No
2486,47605.50,Yes
2487,52928.60,Yes
2488,50766.00,Yes
2489,51425.10,Yes
2490,47295.80,Yes
2491,49369.70,Yes
2492,46155.90,No
2493,49045.40,No
2494,50795.50,No
2495,50282.50,Yes
2496,56873.50,No
2497,47860.70,Yes
2498,56543.70,Yes
2499,53168.80,Yes
2500,48433.30,Yes
